date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:23	194974/194974	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2014:19:31%20GMT	https://ldp.page/dieulinh	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/ldp.page/dieulinh.html	(from )
21:19:23	22/22	---M--	200	added ('OK')	text/plain	date:Thu,%2018%20May%202023%2014:19:31%20GMT	https://ldp.page/robots.txt		(from )
21:19:24	364774/364774	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2018%20May%202023%2014:19:32%20GMT	https://w.ladicdn.com/v2/source/ladipagev3.min.js?v=1684378740599	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/v2/source/ladipagev3.minb6af.js	(from https://ldp.page/dieulinh)
21:19:24	228075/228075	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:32%20GMT	https://w.ladicdn.com/s600x500/63b437c15e1bcc0038b3b934/1-01-15243-20230310134324-k1lq7.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s600x500/63b437c15e1bcc0038b3b934/1-01-15243-20230310134324-k1lq7.jpg	(from https://ldp.page/dieulinh)
21:19:24	30612/30612	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:33%20GMT	https://w.ladicdn.com/s400x400/57b167c9ca57d39c18a1c57c/bup1ZVlA20220815041925.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s400x400/57b167c9ca57d39c18a1c57c/bup1ZVlA20220815041925.jpg	(from https://ldp.page/dieulinh)
21:19:24	36904/36904	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:33%20GMT	https://w.ladicdn.com/s400x400/57b167c9ca57d39c18a1c57c/cw9cchn220220815042240.jpg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s400x400/57b167c9ca57d39c18a1c57c/cw9cchn220220815042240.jpg	(from https://ldp.page/dieulinh)
21:19:24	69807/69807	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:33%20GMT	https://w.ladicdn.com/s600x450/63b437c15e1bcc0038b3b934/8f8a6075-161341-20230310150022-6mc-c.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s600x450/63b437c15e1bcc0038b3b934/8f8a6075-161341-20230310150022-6mc-c.jpg	(from https://ldp.page/dieulinh)
21:19:25	61107/61107	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:33%20GMT	https://w.ladicdn.com/s600x450/63b437c15e1bcc0038b3b934/sbm02088-111676-20230310150223-cwlj0.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s600x450/63b437c15e1bcc0038b3b934/sbm02088-111676-20230310150223-cwlj0.jpg	(from https://ldp.page/dieulinh)
21:19:25	233343/233343	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:33%20GMT	https://w.ladicdn.com/s600x500/63b437c15e1bcc0038b3b934/cover-event-1200x628pxl-213077-20230310150112-fedhm.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s600x500/63b437c15e1bcc0038b3b934/cover-event-1200x628pxl-213077-20230310150112-fedhm.jpg	(from https://ldp.page/dieulinh)
21:19:25	53816/53816	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:34%20GMT	https://w.ladicdn.com/s600x500/63b437c15e1bcc0038b3b934/album-0-144943-20230310145651-cpktx.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s600x500/63b437c15e1bcc0038b3b934/album-0-144943-20230310145651-cpktx.jpg	(from https://ldp.page/dieulinh)
21:19:25	167818/167818	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:34%20GMT	https://w.ladicdn.com/s600x450/63b437c15e1bcc0038b3b934/chauphi-1633663181_750x0-20230310145802-7omxx.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s600x450/63b437c15e1bcc0038b3b934/chauphi-1633663181_750x0-20230310145802-7omxx.jpg	(from https://ldp.page/dieulinh)
21:19:26	272759/272759	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:34%20GMT	https://w.ladicdn.com/s600x500/63b437c15e1bcc0038b3b934/bia-fb-03-210729-20230426135013-asyrf.jpg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s600x500/63b437c15e1bcc0038b3b934/bia-fb-03-210729-20230426135013-asyrf.jpg	(from https://ldp.page/dieulinh)
21:19:26	97930/97930	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:34%20GMT	https://w.ladicdn.com/s550x650/63b437c15e1bcc0038b3b934/447233e4-7a94-4767-bdc5-9428a20dc010_1_201_a-20230310163912-gub5d.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s550x650/63b437c15e1bcc0038b3b934/447233e4-7a94-4767-bdc5-9428a20dc010_1_201_a-20230310163912-gub5d.jpg	(from https://ldp.page/dieulinh)
21:19:26	77639/77639	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:34%20GMT	https://w.ladicdn.com/s550x650/63b437c15e1bcc0038b3b934/224506ce-a14f-4372-94c9-de678ce85866_1_201_a-20230310164114-tl6f3.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s550x650/63b437c15e1bcc0038b3b934/224506ce-a14f-4372-94c9-de678ce85866_1_201_a-20230310164114-tl6f3.jpg	(from https://ldp.page/dieulinh)
21:19:26	122665/122665	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:35%20GMT	https://w.ladicdn.com/s550x650/63b437c15e1bcc0038b3b934/e9a53d75-6537-4915-b7f3-e8b0288c9853_1_201_a-20230310164114-12dfp.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s550x650/63b437c15e1bcc0038b3b934/e9a53d75-6537-4915-b7f3-e8b0288c9853_1_201_a-20230310164114-12dfp.jpg	(from https://ldp.page/dieulinh)
21:19:26	114769/114769	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:35%20GMT	https://w.ladicdn.com/s550x650/63b437c15e1bcc0038b3b934/cc726342-5fca-428a-becf-88520fe328e4_1_201_a-20230310164306-g7zqw.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s550x650/63b437c15e1bcc0038b3b934/cc726342-5fca-428a-becf-88520fe328e4_1_201_a-20230310164306-g7zqw.jpg	(from https://ldp.page/dieulinh)
21:19:27	128734/128734	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2014:19:35%20GMT	https://w.ladicdn.com/s550x650/63b437c15e1bcc0038b3b934/5c377891-7ee5-447e-bdb2-abd1219090cc_1_201_a-20230310164226-tskk8.jpeg	C:/Users/Justin/Desktop/Portfolio-dlinh/dieulinh/w.ladicdn.com/s550x650/63b437c15e1bcc0038b3b934/5c377891-7ee5-447e-bdb2-abd1219090cc_1_201_a-20230310164226-tskk8.jpg	(from https://ldp.page/dieulinh)
